listing_id,vin,make,model,year,trim,body_type,fuel_type,transmission,mileage,price,condition,subregion,region,country ,seller_type
18,TPPCW27T01MM63101,Chevrolet,Silverado,2020,XLE,MPV,Petrol,Automatic,76339,9226,good,Vincent, ARA, France,Private Party
19,YLMCZ9AY0MFFV5068,Tata,Altroz,2023,Platinum,Van,Petrol,AMT,26945,14684,excellent,Solomonberg, ON, Canada,Private Party
20,XRJ30MX0XXE6J4752,Honda,Accord,2016,Sport,Sedan,Petrol,Manual,69929,4716,excellent,East London, KZN, South Africa,Dealer
21,V8K975Y045M2R3115,Ford,F-150,2021,XLE,Convertible,Petrol,DCT,65873,12625,fair,Pretoria, NC, South Africa,Dealer
22,58W86KS337HK76669,Maruti,Dzire,2016,Performance,Sedan,Petrol,Automatic,188669,1854,good,Fischer, BFC, France,Private Party
23,0XF2MEP37TLW62065,Kia,Sonet,2018,XSE,SUV,Electric,Automatic,126531,8648,excellent,Jülich, ST, Germany,Certified Pre-Owned
24,6U0YG9EV3J55D4799,Ford,Maverick,2015,Long Range,Crossover,Hybrid,Automatic,257067,2412,good,Bruchsal, BY, Germany,Dealer
25,EGVYCE0W96WJ26777,Audi,A4,2020,Base,Pickup,Petrol,Manual,82274,18479,good,South Christine, CA, US,Certified Pre-Owned
26,3SZG4NUU6409B8796,BMW,3 Series,2016,LX,Crossover,Hybrid,Automatic,193574,5229,good,Oranienburg, BB, Germany,Dealer
27,K03CA2D779TX26467,Audi,Q3,2021,L,Convertible,Petrol,CVT,48012,28849,excellent,New Justin, WA, Australia,Certified Pre-Owned
28,K6UR90ZXXYCXG4881,Skoda,Octavia,2022,Titanium,MPV,Plug-in Hybrid,Automatic,34276,13596,fair,Lake Timothy, BC, Canada,Private Party
29,0HLRTRZR0WDUB5331,Toyota,Highlander,2018,,MPV,Electric,Automatic,81836,6755,excellent,Port Carol, ENG, UK,Dealer
30,9X70K1XS40YEH2242,BMW,5 Series,2017,Long Range,MPV,Petrol,CVT,196909,5035,good,Gifhorn, RP, Germany,Dealer
31,C0W5S1BN0TKVA6871,Mercedes-Benz,GLA,2018,Base,Van,Plug-in Hybrid,Manual,41899,14723,excellent,Piercemouth, NJ, US,Certified Pre-Owned
32,M5UHPSH4XZ7617142,Chevrolet,Equinox,2021,,Van,Petrol,Automatic,63040,11593,excellent,Johnmouth, QC, Canada,Dealer
33,E8RR5L5T5XXB37471,Tesla,Model 3,2011,XSE,MPV,Plug-in Hybrid,Automatic,226514,1793,good,Hamon, PACA, France,Certified Pre-Owned
34,UJMGNVGG45YGP7458,Volkswagen,Taigun,2017,LT,Pickup,Electric,Automatic,44122,10902,excellent,Bloemfontein, NC, South Africa,Dealer
35,HCWPM8GZ4PP102858,Tesla,Model Y,2022,Titanium,Hatchback,Hybrid,Manual,44429,16352,,Durban, FS, South Africa,Private Party
36,BDAGUA4T7TDXT3862,Skoda,Octavia,2020,LTZ,Pickup,Petrol,CVT,134201,11509,good,Sigmaringen, SH, Germany,Dealer
37,XHTC2N01X0HBS1345,Nissan,Magnite,2012,Performance,Convertible,Electric,AMT,236029,2346,like new,Viersen, HE, Germany,Dealer
38,Y495ZJR615TGJ4805,Ford,F-150,2022,LT,Convertible,Petrol,Manual,56167,22100,excellent,Bhilai, WB, India,Dealer
39,YNEYJ10X9E0CM2081,Chevrolet,Equinox,2022,Trend,Van,Petrol,Automatic,32353,12587,fair,Williamstown, NT, Australia,Dealer
40,8K8V70WJ2CX878111,Mercedes-Benz,GLA,2012,XSE,Hatchback,Petrol,Manual,339356,1664,excellent,Neustadtner Waldnaab, NI, Germany,Dealer
41,M7509LMV7XWH50279,Mahindra,Bolero,2013,,SUV,Petrol,CVT,197432,1234,fair,Bailly, HDF, France,Private Party
42,6HZH6KFE6ENB04453,Hyundai,Creta,2015,XSE,MPV,Petrol,Manual,193706,2342,good,Sainte AlfredVille, NAQ, France,Private Party
43,8NN6XSJ84K8AK6980,BMW,5 Series,2016,XLE,Hatchback,Petrol,Automatic,182471,3872,good,Besson, HDF, France,Private Party
44,81EC4TG430XFR8443,Mercedes-Benz,GLA,2006,,Crossover,Petrol,Automatic,246701,1253,salvage,Matthewport, NC, US,Dealer
45,X2XGN48M95TZM5689,Chevrolet,Trax,2025,Limited,Pickup,Plug-in Hybrid,Automatic,0,53315,excellent,Deniseland, ACT, Australia,Dealer
46,JZN4YC097L3EE0497,Skoda,Kushaq,2011,Performance,Convertible,Petrol,DCT,172400,1864,excellent,South Jonathanstad, IL, US,Dealer
47,BHGDZ5ZX2EHJ65265,Toyota,Tacoma,2014,Long Range,Sedan,Petrol,Manual,163127,1991,excellent,New Ellie, NIR, UK,Certified Pre-Owned
48,1HN7RN5G25DFM0471,Mahindra,XUV700,2015,L,Hatchback,Petrol,Automatic,222586,1168,,???, Tokyo, Japan,Dealer
49,EJUM00U5347BP3375,Chevrolet,Trax,2017,LX,Coupe,Diesel,Automatic,77722,7524,new,Morganfurt, AZ, US,Private Party
50,TNCKS65U1F2N47131,Tesla,Model Y,2017,Performance,Crossover,Petrol,Manual,121829,6683,excellent,Câmara, PR, Brazil,Dealer
51,KKYBFSKJ82V7D4949,Ford,Explorer,2015,Trend,Van,Petrol,Automatic,237718,2324,good,Etawah, PB, India,Private Party
52,J9BHNBMK6LMAU7779,BMW,X5,2019,,Sedan,Diesel,Manual,93051,9810,excellent,Lake Sabrina, MB, Canada,Dealer
53,NR5K8R9U9DNNA6500,Tata,Altroz,2021,Touring,Crossover,CNG,Manual,79671,9345,good,Serampore, RJ, India,Dealer
54,83FLSYTB6GEN85200,Chevrolet,Malibu,2023,Limited,Pickup,Petrol,Automatic,28313,30968,excellent,??????, Kyoto, Japan,Dealer
55,574EWL140SNWA8078,Volkswagen,Taigun,2013,,Hatchback,Electric,CVT,149055,1322,like new,Petersontown, NT, Australia,Dealer
56,T1NANZA506X930009,Mahindra,XUV700,2013,SE,Pickup,Electric,Automatic,171623,2333,excellent,???, Aichi, Japan,Private Party
57,GEPB56FNX8WBB0213,Maruti,Dzire,2021,Limited,Hatchback,Diesel,Manual,59040,5531,good,Johannesburg, GP, South Africa,Dealer
58,EZ9H91Y3291VM0295,Mahindra,Bolero,2019,LT,Convertible,Plug-in Hybrid,CVT,76260,10935,excellent,BlinBourg, BFC, France,Dealer
59,T9HDVN6VXY1014629,Tata,Altroz,2016,L,Pickup,Petrol,DCT,229459,2663,good,?????, Kanagawa, Japan,Certified Pre-Owned
60,CMCN3T5H9GK029388,Tesla,Model Y,2020,Limited,Sedan,Electric,Automatic,99326,16076,good,Haldia, GJ, India,Private Party
61,VM7GZLP85YL9M8128,Chevrolet,Trax,2017,Base,Van,Petrol,Manual,140918,5767,like new,Wolfratshausen, MV, Germany,Dealer
62,YC374K9J2HS8A4771,Tata,Altroz,2019,XSE,MPV,Hybrid,Automatic,80039,5324,like new,Cape Town, GP, South Africa,Dealer
63,XC4TN2JK2HV9X2933,BMW,5 Series,2017,Touring,Coupe,Petrol,Manual,151797,8697,good,Jehanabad, TG, India,Dealer
64,K85A2Y7V2YWH02626,Skoda,Slavia,2007,Performance,Van,CNG,Automatic,362589,1222,excellent,Blanchard-sur-Mer, IDF, France,Dealer
65,ZYJN6WMN146XV7390,Ford,Escape,2025,LTZ,Sedan,Petrol,Manual,0,24471,good,Bloemfontein, MP, South Africa,Dealer
66,RNN1KMTP8YHUX7452,Hyundai,i20,2016,L,Crossover,Hybrid,Automatic,139008,4602,good,Panihati, KL, India,Dealer
67,WT6XA3ZN1B8B62913,Mahindra,Bolero,2022,Touring,Pickup,CNG,Manual,57871,14161,good,Martineau, GES, France,Certified Pre-Owned
68,4MH997DB92JUH9268,Honda,CR-V,2021,LX,MPV,Petrol,Automatic,60999,9081,fair,Port Jeffrey, TAS, Australia,Dealer
69,45TWR5XD252E45322,Honda,Accord,2017,,MPV,Petrol,CVT,106385,2147,salvage,Kellyton, WLS, UK,Dealer
70,BWF8YVT24WAE31706,BMW,3 Series,2021,SE,Hatchback,Diesel,Manual,60730,13468,good,Emmendingen, HB, Germany,Dealer
71,4VRDLXRXX4V588319,Mahindra,Bolero,2013,,Convertible,Petrol,Manual,164331,1642,good,Novais dos Dourados, MG, Brazil,Dealer
72,DR0XN6UU6FCVN3082,Skoda,Slavia,2015,LE,Convertible,Petrol,Manual,120224,2727,fair,St. Marie, WA, Australia,Private Party
73,6F1W0NH30BG5R6882,Tata,Altroz,2013,Trend,Sedan,Hybrid,Manual,164430,1301,good,East Rachelville, SA, Australia,Dealer
74,W8GH040E21S5U5021,Tesla,Model Y,2013,XSE,Sedan,Petrol,Manual,106665,2485,fair,Andreafurt, MB, Canada,Dealer
75,H0M28HZW1C28Y3055,Ford,Escape,2022,,Hatchback,Petrol,Automatic,24401,12286,excellent,da Mata, PA, Brazil,Dealer
76,D2NR072L7G2914064,Maruti,Dzire,2013,Titanium,Van,CNG,CVT,176447,1241,good,Gonçalves, SP, Brazil,Certified Pre-Owned
77,TGG71ZXY6N8PG8956,Volkswagen,Taigun,2023,LE,SUV,Petrol,CVT,26824,26173,excellent,Bethanchester, NIR, UK,Private Party
78,BXKJ41A61B3TL1137,Tesla,Model 3,2016,Long Range,Sedan,Plug-in Hybrid,Automatic,54053,6267,fair,Kevinfort, SA, Australia,Dealer
79,JFTDUNBF3MS3Y4318,Ford,Escape,2019,Trend,Hatchback,Petrol,Automatic,45995,6710,good,Mendonça, SP, Brazil,Dealer
80,1RBA3U9A6C2M22873,Audi,A6,2015,Premium,MPV,Petrol,Automatic,253052,3663,excellent,???, Kanagawa, Japan,Dealer
81,AB8AZAB03S8C74826,Tata,Nexon,2023,LTZ,Convertible,Diesel,Manual,24161,18941,good,Durgapur, KA, India,Dealer
82,KFL51KML7MZ497964,Audi,Q5,2025,Base,MPV,CNG,DCT,0,46724,good,BrunetVille, OCC, France,Private Party
83,MAH9BM4P0XSZ84840,Tesla,Model 3,2018,LE,Hatchback,Hybrid,Manual,94439,6797,excellent,Mcconnellburgh, ON, Canada,Dealer
84,AYHSBJF2X59RU5667,Ford,Explorer,2019,,MPV,Hybrid,Manual,162108,5906,good,Gudivada, MH, India,Dealer
85,C8RV3R9M64PRJ6585,Tata,Punch,2025,Sport,Hatchback,Petrol,Manual,0,13293,good,Martins, CVL, France,Private Party
86,XTU0Y98Z4FMTS1490,BMW,X5,2014,LX,Van,Electric,Automatic,80939,4461,fair,West Gina, NT, Australia,Private Party
87,RE89WYL36M1YN4278,Tata,Nexon,2013,LE,Van,Diesel,Automatic,135438,1316,,New Robert, QLD, Australia,Private Party
88,B4C3EJXL81ZRJ7707,Mercedes-Benz,E-Class,2012,Long Range,Convertible,Petrol,Automatic,111946,4118,good,East James, CA, US,Private Party
89,7T15EKAP7X1YC9009,Chevrolet,Silverado,2007,SE,Convertible,Petrol,Manual,418428,1165,fair,Dessau, SH, Germany,Private Party
90,5DKRA1GZ0ZV9L4744,Mercedes-Benz,E-Class,2025,LX,Pickup,Hybrid,CVT,0,58145,fair,da Mata, PR, Brazil,Dealer
91,59JCN4UW4Z5FC5329,Audi,Q5,2015,Performance,SUV,Petrol,Automatic,104865,7381,new,Bloemfontein, WC, South Africa,Dealer
92,XRAF23C97ZDUT9374,Toyota,Tacoma,2017,Sport,Hatchback,Hybrid,Automatic,119157,2753,excellent,Barbosa do Sul, RS, Brazil,Certified Pre-Owned
93,GV49ZT0D4DEKS0870,Maruti,Ertiga,2017,,Van,Diesel,Manual,133515,3833,good,??, Osaka, Japan,Dealer
94,91P55JWR2LMWX7193,Mercedes-Benz,E-Class,2022,XSE,MPV,Petrol,Automatic,76181,21340,,Vohenstrauß, RP, Germany,Private Party
95,G0UU7HZB0TTW13677,Volkswagen,Jetta,2024,,SUV,Petrol,Manual,21763,16389,salvage,??????, Okinawa, Japan,Dealer
96,6SW9VMTP9P63J9839,Skoda,Kushaq,2020,Titanium,Hatchback,CNG,Automatic,73820,7645,excellent,?????, Kyoto, Japan,Private Party
97,2800PWN05M9ZM3827,Mahindra,Scorpio,2015,EX,Convertible,Petrol,Automatic,84885,3569,excellent,North Rosieberg, SCT, UK,Private Party
98,EHK7122485LSM0295,Mercedes-Benz,GLA,2017,Performance,Hatchback,Petrol,CVT,107550,4382,good,East Williamstad, NT, Australia,Dealer
99,XK368FXW7VJTN9264,Honda,CR-V,2018,LT,Convertible,Hybrid,Manual,104491,9040,good,???, Aichi, Japan,Private Party
100,A1TG7J3213HL75882,Tesla,Model Y,2018,LE,SUV,Petrol,Automatic,111021,14044,like new,???, Fukuoka, Japan,Dealer
101,ZRVWYAWU5XJEC3290,Tesla,Model Y,2011,Platinum,Coupe,Petrol,Automatic,207073,2514,excellent,Clarkburgh, NY, US,Dealer
102,N9GGHS0P3S38B6677,Volkswagen,Taigun,2020,Titanium,MPV,Petrol,Manual,36932,11355,good,Pretoria, GP, South Africa,Private Party
103,XHCVZSRY25X547351,Honda,Accord,2018,LX,Convertible,Petrol,Automatic,174220,5125,,Dupont, BFC, France,Dealer
104,2W8MC3WV89V9T3305,Tesla,Model Y,2019,Base,Coupe,CNG,Automatic,59026,12686,fair,Almeida do Sul, PR, Brazil,Private Party
105,BDRJNK2B2BH0E0796,Kia,Seltos,2017,Base,Convertible,Petrol,Automatic,96941,6015,good,da Mata das Pedras, PE, Brazil,Dealer
106,7S361ZL8415UF3551,Audi,A4,2012,LE,SUV,Diesel,Automatic,193189,2593,good,Cameronville, QLD, Australia,Private Party
107,KRSHVJLP417ZE8090,Hyundai,Tucson,2020,Sport,Coupe,Petrol,DCT,115848,9143,good,???, Okinawa, Japan,Dealer
108,MWLYANCS6LG789871,Honda,City,2013,Premium,Convertible,CNG,Automatic,171677,1849,fair,Kevinview, PA, US,Dealer
109,Y2ZS0WKE903K52072,Skoda,Kushaq,2021,LTZ,Sedan,Diesel,Manual,45379,11182,good,Mendonça Alegre, PR, Brazil,Dealer
110,MTEELREK1H2MB6950,BMW,X5,2021,,Hatchback,Petrol,Manual,64489,9532,fair,Wallsland, AB, Canada,Dealer
111,00X9Y5HU35CTA6440,Maruti,Wagon R,2024,Titanium,Van,Diesel,Manual,21090,18898,excellent,Coulon, ARA, France,Private Party
112,UK6TE5414WGXC0558,Volkswagen,Tiguan,2021,L,Hatchback,Petrol,Manual,33224,8684,good,East Chad, GA, US,Dealer
113,ULVY4RV78VX6C8605,Ford,Explorer,2006,Performance,Sedan,Plug-in Hybrid,Manual,192499,1249,good,West William, NB, Canada,Private Party
114,AUHLRUKK86PYK4306,Toyota,Camry,2020,LT,Sedan,Petrol,Automatic,57648,9160,good,East London, EC, South Africa,Dealer
115,MJN904A18E0AL1405,Ford,Escape,2016,Long Range,Van,Petrol,Manual,132442,4271,good,Duderstadt, BB, Germany,Dealer
116,GH14Y4JC5ZWZC0506,Kia,Seltos,2017,Trend,Pickup,Diesel,Manual,105279,8245,good,Orai, PB, India,Private Party
117,R436X8LV2G0520831,Toyota,Highlander,2010,Base,Sedan,Electric,Automatic,108146,1279,salvage,Pretoria, NC, South Africa,Dealer
118,6YVDTSP35SXCP9587,Ford,Explorer,2015,LE,Van,Hybrid,Automatic,255893,2605,excellent,?????, Osaka, Japan,Private Party
119,UBFUR8JP6XSLE1448,Chevrolet,Equinox,2012,Performance,SUV,Petrol,Manual,289558,1186,salvage,Jehanabad, KA, India,Dealer
120,ZLE0T2GM1W72D7956,Kia,Sonet,2014,Titanium,Van,Diesel,Manual,180670,2323,like new,West Dianastad, PA, US,Dealer
121,DGNUUJ2A8JF3S6344,Chevrolet,Malibu,2025,LT,Sedan,Hybrid,Automatic,0,13313,salvage,North Steven, MA, US,Private Party
122,T79AVA9D59CVY7352,Maruti,Dzire,2022,Titanium,Pickup,Diesel,CVT,70474,15875,,Bad Freienwalde, BB, Germany,Dealer
123,T5B7ZUVD64UM86323,Tesla,Model 3,2012,Limited,Van,Electric,Automatic,122493,3854,good,????, Okinawa, Japan,Dealer
124,WA45FDK38PR6Z9299,Kia,Sonet,2017,Base,Hatchback,Hybrid,Automatic,77534,3971,good,East Denisefort, MA, US,Dealer
125,PFY2BFMA5LGHL0692,Volkswagen,Jetta,2012,Touring,Crossover,Diesel,Manual,195653,1313,fair,Brooksview, WA, Australia,Certified Pre-Owned
126,W10DN3UD6BGFC7727,Skoda,Slavia,2014,LTZ,SUV,Hybrid,Manual,126975,1941,fair,Port Danielborough, AB, Canada,Private Party
127,6WEVKRAB39BDM8746,Maruti,Baleno,2021,Touring,Convertible,Diesel,Automatic,32096,10199,fair,Port Bridget, IL, US,Private Party
128,PKMSDT5W75LT55792,Audi,Q5,2025,XLE,Crossover,Petrol,Manual,0,40111,,East London, MP, South Africa,Dealer
129,0VZDX833XZ6P29463,Chevrolet,Malibu,2019,Touring,Sedan,Petrol,Manual,90354,4990,fair,East Tonyland, BC, Canada,Dealer
130,M4230HZG2810F6769,Toyota,Camry,2018,,Crossover,Petrol,Automatic,85557,6007,fair,Raipur, WB, India,Private Party
131,GZY6GBAR4UHUP9493,Mahindra,Bolero,2018,Trend,SUV,Electric,Automatic,55369,5949,good,Kimberlyborough, IL, US,Certified Pre-Owned
132,CYB9M0YM5SL4S8341,Nissan,Rogue,2018,Long Range,Convertible,Petrol,DCT,88608,6437,fair,Martinview, NT, Australia,Private Party
133,9RDTMCDRXLCNP5434,Audi,A6,2017,Touring,Crossover,Petrol,Automatic,172180,7940,excellent,Bhatpara, RJ, India,Dealer
134,S5JK9FHS69XE62851,Skoda,Kushaq,2017,LE,Convertible,Diesel,CVT,69874,7901,excellent,East James, ACT, Australia,Private Party
135,BTBA7K2409U1H3436,Maruti,Swift,2009,LE,Coupe,Hybrid,Automatic,197082,1226,excellent,???, Kanagawa, Japan,Private Party
136,P9MGMF3R0LZ7J2409,Volkswagen,Tiguan,2020,Long Range,SUV,Diesel,Automatic,130387,9358,good,Thane, DL, India,Certified Pre-Owned
137,PCPRVR0B07DST6780,Maruti,Baleno,2020,XSE,Van,Diesel,CVT,45098,7581,good,Ribeiro de Minas, PA, Brazil,Private Party
138,Z73GWVZH5T8BV7424,Honda,Civic,2018,,Van,Petrol,Manual,159537,5630,like new,????, Fukuoka, Japan,Private Party
139,668FZTK504FRB5935,Toyota,RAV4,2022,Long Range,Sedan,Petrol,Automatic,40857,13848,excellent,Carolside, WA, Australia,Dealer
140,H1X0MCNZX6KZA8157,Maruti,Wagon R,2021,LX,Van,Petrol,Automatic,61704,9037,excellent,East Benjamin, SCT, UK,Dealer
141,7BHSC12V7BMAX1377,Tata,Harrier,2025,SE,Convertible,Diesel,Automatic,0,23033,fair,???, Tokyo, Japan,Certified Pre-Owned
142,WMAV515S6PBGN7607,Nissan,Magnite,2012,Performance,Sedan,Diesel,Automatic,114700,1448,good,Pateltown, NIR, UK,Dealer
143,3842ZX502WB8N4407,Kia,Sorento,2014,,MPV,Electric,CVT,169186,2419,good,Fontaine, GES, France,Dealer
144,USTER4WC600RC5379,Nissan,Magnite,2018,L,Pickup,Petrol,Automatic,84931,7202,fair,East London, FS, South Africa,Certified Pre-Owned
145,PR8394EK7JY291343,Mahindra,XUV700,2020,Base,Pickup,Petrol,Automatic,41982,9374,fair,New Alyssaland, AZ, US,Private Party
146,0SXKNJKV2GW4U1666,Mahindra,XUV700,2021,EX,Van,Diesel,Automatic,38027,9466,excellent,Martins, RJ, Brazil,Certified Pre-Owned
147,40S469N5400FN9187,Skoda,Kushaq,2012,Sport,Convertible,Petrol,Automatic,171493,1875,good,Ianbury, MI, US,Certified Pre-Owned
148,W6UDNUX2285Y83675,Kia,Sorento,2021,Touring,Van,CNG,Automatic,63595,13743,new,Durban, MP, South Africa,Private Party
149,BYRG3HF8X3TSD6481,Kia,Sonet,2025,LE,Hatchback,Electric,Manual,0,28869,excellent,???????, Aichi, Japan,Private Party
150,04T4UBNC62PML3950,Mercedes-Benz,GLA,2023,Long Range,Coupe,Hybrid,Automatic,27643,18768,salvage,Laroche, GES, France,Private Party
151,JPA87SE57CEGH2103,Toyota,Camry,2013,XSE,SUV,CNG,Manual,173572,1927,good,da Costa, CE, Brazil,Private Party
152,FJ856JD03V1965517,Maruti,Swift,2024,LX,Van,Petrol,Automatic,10445,17745,good,Lake Allison, NY, US,Private Party
153,EZBD1LZY21NPW0866,Mercedes-Benz,GLC,2012,LE,Hatchback,Electric,Automatic,230719,1860,excellent,Muzaffarpur, KA, India,Private Party
154,MY2VWH2TX29LJ4785,Mahindra,XUV700,2013,Touring,Crossover,Petrol,Automatic,175754,1684,excellent,Rastatt, RP, Germany,Dealer
155,ZLSBEPX00WMPY7231,BMW,X3,2025,Limited,MPV,Petrol,CVT,0,49946,excellent,Timothyport, ACT, Australia,Dealer
156,FFP6JBC48S5Y99163,Audi,A6,2023,Base,Crossover,Petrol,Automatic,24350,32848,good,Durban, EC, South Africa,Private Party
157,1GZK43U56XAPX8026,Honda,Civic,2016,Titanium,Crossover,Diesel,Manual,189638,1823,salvage,Kolkata, WB, India,Dealer
158,ETD6V8JS5LDWU3640,Honda,Civic,2021,Sport,Pickup,Petrol,Automatic,35664,21632,excellent,Guerra da Mata, PR, Brazil,Certified Pre-Owned
159,XU7Y70DW43HU22634,Ford,F-150,2012,Base,MPV,Hybrid,Manual,122954,1270,fair,Cape Town, KZN, South Africa,Dealer
160,7XJCU0EE491DP1975,Mercedes-Benz,GLC,2009,Titanium,Pickup,CNG,Automatic,148875,2149,good,Durban, WC, South Africa,Private Party
161,REC9VYXM9L1KB6760,Audi,Q3,2022,Base,Coupe,Petrol,Automatic,38908,29577,excellent,West Rachelport, NC, US,Dealer
162,647H14YL7RSAL7792,Volkswagen,Taigun,2025,LX,Coupe,Petrol,Manual,0,43463,new,Badalzungen, BB, Germany,Private Party
163,4CT7AWSVXTMWA1855,Volkswagen,Taigun,2016,L,SUV,Electric,Manual,56537,5106,fair,Lake Phillipville, ENG, UK,Certified Pre-Owned
164,U7R6UKUU8K1V29009,Chevrolet,Trax,2013,Touring,Coupe,Petrol,Automatic,190771,1919,good,East Ryanview, WLS, UK,Dealer
165,NRUH8XB14E4XM5483,Volkswagen,Taigun,2020,LE,Coupe,Petrol,Automatic,55806,11423,good,Candaceport, OH, US,Dealer
166,RMJGKD4T0K1RL6056,Nissan,Sentra,2013,LTZ,SUV,Petrol,Automatic,185914,1907,fair,??????, Fukuoka, Japan,Dealer
167,LBADGRME0VS3H8493,Chevrolet,Malibu,2007,Sport,Pickup,Petrol,CVT,246666,1306,good,Lambertdan, BFC, France,Private Party
168,W962WAKD3YP8E7280,Hyundai,Tucson,2015,Limited,Sedan,Diesel,AMT,221741,1856,good,Chennai, KL, India,Dealer
169,Y3CYGU7C3P5769851,Maruti,Baleno,2014,XLE,Sedan,Diesel,Automatic,141924,1278,good,Johannesburg, MP, South Africa,Dealer
170,DCYVD3C52FNW55515,Volkswagen,Tiguan,2023,,Van,Petrol,Automatic,38297,10007,salvage,??????, Okinawa, Japan,Dealer
171,P5X1RC26733LJ9014,Honda,CR-V,2014,LX,SUV,Petrol,Manual,174984,2657,excellent,West Wayne, WLS, UK,Dealer
172,063FEL447W7WX1713,Skoda,Octavia,2020,Sport,Sedan,Petrol,Manual,53091,9721,like new,Durban, EC, South Africa,Dealer
173,B7403MRG7EY7G9099,Hyundai,Sonata,2014,LE,Sedan,Petrol,CVT,178468,1623,good,Matthewberg, CO, US,Private Party
174,TE9PD84H41T1P5468,Tesla,Model 3,2021,Long Range,Convertible,Electric,CVT,61933,33439,good,Indore, HR, India,Private Party
175,6DHCY3JM4CT0C0182,Mercedes-Benz,GLC,2017,,MPV,Hybrid,Automatic,128292,5536,like new,South Stefanieside, TAS, Australia,Private Party
176,N31Z2Y8X1E6L04577,Chevrolet,Trax,2019,EX,Convertible,Petrol,Automatic,47349,11757,good,New Sarah, MB, Canada,Dealer
177,458EKK999SKKN1168,Ford,Escape,2017,EX,Pickup,Electric,CVT,60261,9812,excellent,East Christian, NC, US,Private Party
178,WBFAL1DZ858991359,Tesla,Model 3,2024,,Van,Electric,Automatic,5714,25051,salvage,Port Scott, PA, US,Certified Pre-Owned
179,URBXSBW94TKSK6232,Tata,Nexon,2013,Touring,Pickup,Petrol,DCT,103679,2296,good,Trevormouth, IL, US,Dealer
180,C7ENXZW179GBR6365,Mahindra,Scorpio,2016,,MPV,Diesel,AMT,158484,1999,fair,Freising, TH, Germany,Dealer
181,WJ8UCH6G3JBEK6443,Mahindra,XUV700,2014,,SUV,Electric,Automatic,76682,3272,excellent,Pretoria, NC, South Africa,Dealer
182,1PA4RCG16A7614012,Mercedes-Benz,GLA,2015,L,Convertible,Petrol,CVT,250007,4657,good,Sagar, MH, India,Private Party
183,HTMUX7LM4X65Z6555,Tata,Altroz,2015,LT,MPV,Petrol,Automatic,129094,2648,good,Dhanbad, GJ, India,Dealer
184,C35834H5XRSGZ8350,Maruti,Dzire,2024,XLE,SUV,Petrol,Automatic,14597,20556,good,Bethanstad, SCT, UK,Private Party
185,KBG7Z5JY50UD09670,Hyundai,Sonata,2021,Trend,Van,Hybrid,Manual,88141,12681,like new,Chapra, KA, India,Dealer
